1 jel fahren gefahren A
2 jit gehen gegangen N
3 péct backen gebacken A
4 začít beginnen begonnen A
5 dostat bekommen bekommen A
6 popsat beschrieben beschrieben A
7 probrat besprechen besprochen A
8 prosit bitten gebeten A
9 zůstat bleiben geblieben N
